raw_id,provider_id,provider_name,source_url,raw_title,raw_url,raw_description,raw_category,raw_subcategory,raw_tags,raw_duration,raw_level,raw_language,raw_certificate_info,raw_badge_info,raw_price_info,raw_rating,raw_reviews_count,raw_enrollment_count,raw_image_url,raw_instructors,raw_json,scraped_at,status,error_message
cognitiveclass_0092834a,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Introduction Deep Learning,https://cognitiveclass.ai/courses/introduction-deep-learning,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/introduction-deep-learning""}",2026-05-23 14:13:58,active,
cognitiveclass_0097e3b9,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Apply End To End Security To A Cloud Application,https://cognitiveclass.ai/courses/apply-end-to-end-security-to-a-cloud-application,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/apply-end-to-end-security-to-a-cloud-application""}",2026-05-23 14:13:58,active,
cognitiveclass_0044a847,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Flume Sqoop Moving Data Into Hadoop,https://cognitiveclass.ai/courses/flume-sqoop-moving-data-into-hadoop,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/flume-sqoop-moving-data-into-hadoop""}",2026-05-23 14:13:58,active,
cognitiveclass_008189a0,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Blockchain Iot Node Red Food Network,https://cognitiveclass.ai/courses/blockchain-iot-node-red-food-network,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/blockchain-iot-node-red-food-network""}",2026-05-23 14:13:58,active,
cognitiveclass_0083ddeb,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Data Science Methodology 2,https://cognitiveclass.ai/courses/data-science-methodology-2,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/data-science-methodology-2""}",2026-05-23 14:13:58,active,
cognitiveclass_00902d50,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Build Robots With Tjbot,https://cognitiveclass.ai/courses/build-robots-with-tjbot,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/build-robots-with-tjbot""}",2026-05-23 14:13:58,active,
cognitiveclass_00497a4a,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Spark Graphx,https://cognitiveclass.ai/courses/spark-graphx,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/spark-graphx""}",2026-05-23 14:13:58,active,
cognitiveclass_004f5fd4,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Docker Essentials,https://cognitiveclass.ai/courses/docker-essentials,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/docker-essentials""}",2026-05-23 14:13:58,active,
cognitiveclass_0052edd0,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Digital Developer Conference Cloud Native Track,https://cognitiveclass.ai/courses/digital-developer-conference-cloud-native-track,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/digital-developer-conference-cloud-native-track""}",2026-05-23 14:13:58,active,
cognitiveclass_007ac3a5,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Scalable Web Applications On Kubernetes,https://cognitiveclass.ai/courses/scalable-web-applications-on-kubernetes,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/scalable-web-applications-on-kubernetes""}",2026-05-23 14:13:58,active,
cognitiveclass_0080427a,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Robots Are Coming,https://cognitiveclass.ai/courses/robots-are-coming,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/robots-are-coming""}",2026-05-23 14:13:58,active,
cognitiveclass_001a9ffa,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Data Science Scala,https://cognitiveclass.ai/courses/data-science-scala,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/data-science-scala""}",2026-05-23 14:13:58,active,
cognitiveclass_002c7cfb,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Build Swift Mobile Apps With Watson Ai Services,https://cognitiveclass.ai/courses/build-swift-mobile-apps-with-watson-ai-services,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/build-swift-mobile-apps-with-watson-ai-services""}",2026-05-23 14:13:58,active,
cognitiveclass_0083cb82,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Data Ops Methodology,https://cognitiveclass.ai/courses/data-ops-methodology,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/data-ops-methodology""}",2026-05-23 14:13:58,active,
cognitiveclass_0004d895,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Controlling Hadoop Jobs Using Oozie,https://cognitiveclass.ai/courses/controlling-hadoop-jobs-using-oozie,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/controlling-hadoop-jobs-using-oozie""}",2026-05-23 14:13:58,active,
cognitiveclass_0079ae32,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Machine Learning Dimensionality Reduction,https://cognitiveclass.ai/courses/machine-learning-dimensionality-reduction,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/machine-learning-dimensionality-reduction""}",2026-05-23 14:13:58,active,
cognitiveclass_004725b2,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Chatbot Course,https://cognitiveclass.ai/courses/chatbot-course,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/chatbot-course""}",2026-05-23 14:13:58,active,
cognitiveclass_0060c1be,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Mathematical Optimization For Business Problems,https://cognitiveclass.ai/courses/mathematical-optimization-for-business-problems,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/mathematical-optimization-for-business-problems""}",2026-05-23 14:13:58,active,
cognitiveclass_00987af2,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Tensorflow Gpu,https://cognitiveclass.ai/courses/tensorflow_gpu,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/tensorflow_gpu""}",2026-05-23 14:13:58,active,
cognitiveclass_00600e63,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,What Is Spark,https://cognitiveclass.ai/courses/what-is-spark,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/what-is-spark""}",2026-05-23 14:13:58,active,
cognitiveclass_0023fbca,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Using R With Databases,https://cognitiveclass.ai/courses/using-r-with-databases,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/using-r-with-databases""}",2026-05-23 14:13:58,active,
cognitiveclass_005f811d,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Deploy A Serverless App For Image Processing,https://cognitiveclass.ai/courses/deploy-a-serverless-app-for-image-processing,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/deploy-a-serverless-app-for-image-processing""}",2026-05-23 14:13:58,active,
cognitiveclass_0058267d,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Introduction To Open Source,https://cognitiveclass.ai/courses/introduction-to-open-source,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/introduction-to-open-source""}",2026-05-23 14:13:58,active,
cognitiveclass_002cc961,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Enabling Distributed Tracing In Microservices With Zipkin,https://cognitiveclass.ai/courses/enabling-distributed-tracing-in-microservices-with-zipkin,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/enabling-distributed-tracing-in-microservices-with-zipkin""}",2026-05-23 14:13:58,active,
cognitiveclass_000e6f4d,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Fundamentals Of Javascript Through Rock Paper Scissors,https://cognitiveclass.ai/courses/fundamentals-of-javascript-through-rock-paper-scissors,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/fundamentals-of-javascript-through-rock-paper-scissors""}",2026-05-23 14:13:58,active,
cognitiveclass_0026cdeb,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Insurance Modelling And Basic Statistical Analysis,https://cognitiveclass.ai/courses/insurance-modelling-and-basic-statistical-analysis,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/insurance-modelling-and-basic-statistical-analysis""}",2026-05-23 14:13:58,active,
cognitiveclass_009224a6,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Insurance Risk Assessment W Monte Carlo Method Using Spark,https://cognitiveclass.ai/courses/insurance-risk-assessment-w-monte-carlo-method-using-spark,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/insurance-risk-assessment-w-monte-carlo-method-using-spark""}",2026-05-23 14:13:58,active,
