raw_id,provider_id,provider_name,source_url,raw_title,raw_url,raw_description,raw_category,raw_subcategory,raw_tags,raw_duration,raw_level,raw_language,raw_certificate_info,raw_badge_info,raw_price_info,raw_rating,raw_reviews_count,raw_enrollment_count,raw_image_url,raw_instructors,raw_json,scraped_at,status,error_message
educative_00760ec2,educative,Educative,https://www.educative.io/sitemap.xml,Speedrun The Linkedin Coding Interview Top Javascript Problems,https://www.educative.io/path/speedrun-the-linkedin-coding-interview-top-javascript-problems,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/speedrun-the-linkedin-coding-interview-top-javascript-problems""}",2026-05-23 14:32:51,active,
educative_006ac808,educative,Educative,https://www.educative.io/sitemap.xml,Spring Boot Development For Java Programmers,https://www.educative.io/path/spring-boot-development-for-java-programmers,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/spring-boot-development-for-java-programmers""}",2026-05-23 14:32:51,active,
educative_0074342b,educative,Educative,https://www.educative.io/sitemap.xml,Become An Azure Expert,https://www.educative.io/path/become-an-azure-expert,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/become-an-azure-expert""}",2026-05-23 14:32:51,active,
educative_004c4392,educative,Educative,https://www.educative.io/sitemap.xml,Ace Javascript Coding Interview,https://www.educative.io/path/ace-javascript-coding-interview,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/ace-javascript-coding-interview""}",2026-05-23 14:32:51,active,
educative_00774643,educative,Educative,https://www.educative.io/sitemap.xml,Android Development With Java,https://www.educative.io/path/android-development-with-java,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/android-development-with-java""}",2026-05-23 14:32:51,active,
educative_00527a07,educative,Educative,https://www.educative.io/sitemap.xml,Become A Data Scientist,https://www.educative.io/path/become-a-data-scientist,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/become-a-data-scientist""}",2026-05-23 14:32:51,active,
educative_001656bf,educative,Educative,https://www.educative.io/sitemap.xml,Zero To Hero In Front End Development With Angular,https://www.educative.io/path/zero-to-hero-in-front-end-development-with-angular,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/zero-to-hero-in-front-end-development-with-angular""}",2026-05-23 14:32:51,active,
educative_00977dd4,educative,Educative,https://www.educative.io/sitemap.xml,Become A Mean Stack Developer,https://www.educative.io/path/become-a-mean-stack-developer,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/become-a-mean-stack-developer""}",2026-05-23 14:32:51,active,
educative_000ffb0b,educative,Educative,https://www.educative.io/sitemap.xml,Devops For Developers,https://www.educative.io/path/devops-for-developers,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/devops-for-developers""}",2026-05-23 14:32:51,active,
educative_0085447c,educative,Educative,https://www.educative.io/sitemap.xml,Become A Database Professional With Sql,https://www.educative.io/path/become-a-database-professional-with-sql,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/become-a-database-professional-with-sql""}",2026-05-23 14:32:51,active,
educative_001aa43e,educative,Educative,https://www.educative.io/sitemap.xml,Become An Adonis Js Developer,https://www.educative.io/path/become-an-adonis-js-developer,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/become-an-adonis-js-developer""}",2026-05-23 14:32:51,active,
educative_0024c81d,educative,Educative,https://www.educative.io/sitemap.xml,Speedrun The Meta Coding Interview Top Problems In Javascript,https://www.educative.io/path/speedrun-the-meta-coding-interview-top-problems-in-javascript,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/speedrun-the-meta-coding-interview-top-problems-in-javascript""}",2026-05-23 14:32:51,active,
educative_00349518,educative,Educative,https://www.educative.io/sitemap.xml,Become An Agentic Ai Expert,https://www.educative.io/path/become-an-agentic-ai-expert,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/become-an-agentic-ai-expert""}",2026-05-23 14:32:51,active,
educative_003425bb,educative,Educative,https://www.educative.io/sitemap.xml,Grokking Grind 75 In Java Mastery Through Coding Patterns,https://www.educative.io/path/grokking-grind-75-in-java-mastery-through-coding-patterns,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/grokking-grind-75-in-java-mastery-through-coding-patterns""}",2026-05-23 14:32:51,active,
educative_000dd215,educative,Educative,https://www.educative.io/sitemap.xml,Statistical Analysis With R,https://www.educative.io/path/statistical-analysis-with-r,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/statistical-analysis-with-r""}",2026-05-23 14:32:51,active,
educative_004a6b3e,educative,Educative,https://www.educative.io/sitemap.xml,Zero To Hero In Front End Web Development,https://www.educative.io/path/zero-to-hero-in-front-end-web-development,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/zero-to-hero-in-front-end-web-development""}",2026-05-23 14:32:51,active,
educative_007a7b22,educative,Educative,https://www.educative.io/sitemap.xml,Become A Firebase Professional,https://www.educative.io/path/become-a-firebase-professional,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/become-a-firebase-professional""}",2026-05-23 14:32:51,active,
educative_00095b37,educative,Educative,https://www.educative.io/sitemap.xml,Grokking Grind 75 In Python Mastery Through Coding Patterns,https://www.educative.io/path/grokking-grind-75-in-python-mastery-through-coding-patterns,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/grokking-grind-75-in-python-mastery-through-coding-patterns""}",2026-05-23 14:32:51,active,
educative_003c65f0,educative,Educative,https://www.educative.io/sitemap.xml,Educative 77 In Java Accelerate Your Coding Interview Prep,https://www.educative.io/path/educative-77-in-java-accelerate-your-coding-interview-prep,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/educative-77-in-java-accelerate-your-coding-interview-prep""}",2026-05-23 14:32:51,active,
educative_004057ae,educative,Educative,https://www.educative.io/sitemap.xml,Ace The Go Coding Interview,https://www.educative.io/path/ace-the-go-coding-interview,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/ace-the-go-coding-interview""}",2026-05-23 14:32:51,active,
educative_0022bc65,educative,Educative,https://www.educative.io/sitemap.xml,Grokking Grind 75 In Javascript Mastery Through Coding Patterns,https://www.educative.io/path/grokking-grind-75-in-javascript-mastery-through-coding-patterns,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/grokking-grind-75-in-javascript-mastery-through-coding-patterns""}",2026-05-23 14:32:51,active,
educative_003f947e,educative,Educative,https://www.educative.io/sitemap.xml,Become An Llm Engineer,https://www.educative.io/path/become-an-llm-engineer,,Programming,,Educative;Programming;Interview Prep,,intermediate,English,,,free,,,,,,"{""url"": ""https://www.educative.io/path/become-an-llm-engineer""}",2026-05-23 14:32:51,active,
