raw_id,provider_id,provider_name,source_url,raw_title,raw_url,raw_description,raw_category,raw_subcategory,raw_tags,raw_duration,raw_level,raw_language,raw_certificate_info,raw_badge_info,raw_price_info,raw_rating,raw_reviews_count,raw_enrollment_count,raw_image_url,raw_instructors,raw_json,scraped_at,status,error_message
exercism_8th,exercism,Exercism,https://exercism.org/api/v2/tracks,8th,https://exercism.org/tracks/8th,,Programming,8th,Compiled;Interpreted;Functional;Imperative;Procedural;Android;iOS;Linux;macOS;Windows,,beginner,English,,,free,,,70,https://assets.exercism.org/tracks/8th.svg,,"{""slug"": ""8th"", ""title"": ""8th"", ""course"": false, ""num_concepts"": 0, ""num_exercises"": 70, ""web_url"": ""https://exercism.org/tracks/8th"", ""icon_url"": ""https://assets.exercism.org/tracks/8th.svg"", ""tags"": [""Compiled"", ""Interpreted"", ""Functional"", ""Imperative"", ""Procedural"", ""Android"", ""iOS"", ""Linux"", ""macOS"", ""Windows"", ""Dynamic"", ""Static"", ""Strong"", ""Backends"", ""Cross-platform development"", ""Frontends"", ""Games"", ""GUIs"", ""Mobile"", ""Web development""], ""last_touched_at"": null, ""is_new"": false, ""links"": {""self"": ""https://exercism.org/tracks/8th"", ""exercises"": ""https://exercism.org/tracks/8th/exercises"", ""concepts"": ""https://exercism.org/tracks/8th/concepts""}}",2026-05-23 13:58:41,active,
exercism_abap,exercism,Exercism,https://exercism.org/api/v2/tracks,ABAP,https://exercism.org/tracks/abap,,Programming,abap,Compiled;Object-oriented;Procedural;Language-specific runtime;Static;Strong;Backends;Financial systems,,beginner,English,,,free,,,47,https://assets.exercism.org/tracks/abap.svg,,"{""slug"": ""abap"", ""title"": ""ABAP"", ""course"": false, ""num_concepts"": 0, ""num_exercises"": 47, ""web_url"": ""https://exercism.org/tracks/abap"", ""icon_url"": ""https://assets.exercism.org/tracks/abap.svg"", ""tags"": [""Compiled"", ""Object-oriented"", ""Procedural"", ""Language-specific runtime"", ""Static"", ""Strong"", ""Backends"", ""Financial systems""], ""last_touched_at"": null, ""is_new"": false, ""links"": {""self"": ""https://exercism.org/tracks/abap"", ""exercises"": ""https://exercism.org/tracks/abap/exercises"", ""concepts"": ""https://exercism.org/tracks/abap/concepts""}}",2026-05-23 13:58:41,active,
exercism_arm64-assembly,exercism,Exercism,https://exercism.org/api/v2/tracks,ARM64 Assembly,https://exercism.org/tracks/arm64-assembly,,Programming,arm64-assembly,Compiled;Imperative;Procedural;Android;iOS;Linux;macOS;Standalone executable;Static;Weak,,beginner,English,,,free,,,78,https://assets.exercism.org/tracks/arm64-assembly.svg,,"{""slug"": ""arm64-assembly"", ""title"": ""ARM64 Assembly"", ""course"": false, ""num_concepts"": 0, ""num_exercises"": 78, ""web_url"": ""https://exercism.org/tracks/arm64-assembly"", ""icon_url"": ""https://assets.exercism.org/tracks/arm64-assembly.svg"", ""tags"": [""Compiled"", ""Imperative"", ""Procedural"", ""Android"", ""iOS"", ""Linux"", ""macOS"", ""Standalone executable"", ""Static"", ""Weak"", ""Embedded systems"", ""Mobile""], ""last_touched_at"": null, ""is_new"": false, ""links"": {""self"": ""https://exercism.org/tracks/arm64-assembly"", ""exercises"": ""https://exercism.org/tracks/arm64-assembly/exercises"", ""concepts"": ""https://exercism.org/tracks/arm64-assembly/concepts""}}",2026-05-23 13:58:41,active,
exercism_arturo,exercism,Exercism,https://exercism.org/api/v2/tracks,Arturo,https://exercism.org/tracks/arturo,,Programming,arturo,Compiled;Interpreted;Functional;Procedural;Linux;macOS;Windows;Language-specific runtime;Dynamic;Cross-platform development,,beginner,English,,,free,,,76,https://assets.exercism.org/tracks/arturo.svg,,"{""slug"": ""arturo"", ""title"": ""Arturo"", ""course"": false, ""num_concepts"": 0, ""num_exercises"": 76, ""web_url"": ""https://exercism.org/tracks/arturo"", ""icon_url"": ""https://assets.exercism.org/tracks/arturo.svg"", ""tags"": [""Compiled"", ""Interpreted"", ""Functional"", ""Procedural"", ""Linux"", ""macOS"", ""Windows"", ""Language-specific runtime"", ""Dynamic"", ""Cross-platform development"", ""Scripts""], ""last_touched_at"": null, ""is_new"": false, ""links"": {""self"": ""https://exercism.org/tracks/arturo"", ""exercises"": ""https://exercism.org/tracks/arturo/exercises"", ""concepts"": ""https://exercism.org/tracks/arturo/concepts""}}",2026-05-23 13:58:41,active,
exercism_awk,exercism,Exercism,https://exercism.org/api/v2/tracks,AWK,https://exercism.org/tracks/awk,,Programming,awk,Interpreted;Procedural;Linux;macOS;Windows;Standalone executable;Weak;Scripts,,beginner,English,,,free,,,95,https://assets.exercism.org/tracks/awk.svg,,"{""slug"": ""awk"", ""title"": ""AWK"", ""course"": true, ""num_concepts"": 3, ""num_exercises"": 92, ""web_url"": ""https://exercism.org/tracks/awk"", ""icon_url"": ""https://assets.exercism.org/tracks/awk.svg"", ""tags"": [""Interpreted"", ""Procedural"", ""Linux"", ""macOS"", ""Windows"", ""Standalone executable"", ""Weak"", ""Scripts""], ""last_touched_at"": null, ""is_new"": false, ""links"": {""self"": ""https://exercism.org/tracks/awk"", ""exercises"": ""https://exercism.org/tracks/awk/exercises"", ""concepts"": ""https://exercism.org/tracks/awk/concepts""}}",2026-05-23 13:58:41,active,
exercism_ballerina,exercism,Exercism,https://exercism.org/api/v2/tracks,Ballerina,https://exercism.org/tracks/ballerina,,Programming,ballerina,Compiled;Imperative;Object-oriented;Procedural;Linux;macOS;Windows;JVM (Java);Static;Strong,,beginner,English,,,free,,,60,https://assets.exercism.org/tracks/ballerina.svg,,"{""slug"": ""ballerina"", ""title"": ""Ballerina"", ""course"": false, ""num_concepts"": 0, ""num_exercises"": 60, ""web_url"": ""https://exercism.org/tracks/ballerina"", ""icon_url"": ""https://assets.exercism.org/tracks/ballerina.svg"", ""tags"": [""Compiled"", ""Imperative"", ""Object-oriented"", ""Procedural"", ""Linux"", ""macOS"", ""Windows"", ""JVM (Java)"", ""Static"", ""Strong"", ""Backends"", ""Cross-platform development"", ""Web development""], ""last_touched_at"": null, ""is_new"": false, ""links"": {""self"": ""https://exercism.org/tracks/ballerina"", ""exercises"": ""https://exercism.org/tracks/ballerina/exercises"", ""concepts"": ""https://exercism.org/tracks/ballerina/concepts""}}",2026-05-23 13:58:41,active,
exercism_bash,exercism,Exercism,https://exercism.org/api/v2/tracks,Bash,https://exercism.org/tracks/bash,,Programming,bash,Interpreted;Procedural;Linux;macOS;Windows;Weak;Scripts,,beginner,English,,,free,,,93,https://assets.exercism.org/tracks/bash.svg,,"{""slug"": ""bash"", ""title"": ""Bash"", ""course"": false, ""num_concepts"": 0, ""num_exercises"": 93, ""web_url"": ""https://exercism.org/tracks/bash"", ""icon_url"": ""https://assets.exercism.org/tracks/bash.svg"", ""tags"": [""Interpreted"", ""Procedural"", ""Linux"", ""macOS"", ""Windows"", ""Weak"", ""Scripts""], ""last_touched_at"": null, ""is_new"": false, ""links"": {""self"": ""https://exercism.org/tracks/bash"", ""exercises"": ""https://exercism.org/tracks/bash/exercises"", ""concepts"": ""https://exercism.org/tracks/bash/concepts""}}",2026-05-23 13:58:41,active,
exercism_batch,exercism,Exercism,https://exercism.org/api/v2/tracks,Batch Script,https://exercism.org/tracks/batch,,Programming,batch,Interpreted;Imperative;Windows;Dynamic;Weak;Scripts,,beginner,English,,,free,,,23,https://assets.exercism.org/tracks/batch.svg,,"{""slug"": ""batch"", ""title"": ""Batch Script"", ""course"": false, ""num_concepts"": 0, ""num_exercises"": 23, ""web_url"": ""https://exercism.org/tracks/batch"", ""icon_url"": ""https://assets.exercism.org/tracks/batch.svg"", ""tags"": [""Interpreted"", ""Imperative"", ""Windows"", ""Dynamic"", ""Weak"", ""Scripts""], ""last_touched_at"": null, ""is_new"": false, ""links"": {""self"": ""https://exercism.org/tracks/batch"", ""exercises"": ""https://exercism.org/tracks/batch/exercises"", ""concepts"": ""https://exercism.org/tracks/batch/concepts""}}",2026-05-23 13:58:41,active,
exercism_c,exercism,Exercism,https://exercism.org/api/v2/tracks,C,https://exercism.org/tracks/c,,Programming,c,Compiled;Procedural;Android;iOS;Linux;macOS;Windows;Language-specific runtime;Static;Backends,,beginner,English,,,free,,,84,https://assets.exercism.org/tracks/c.svg,,"{""slug"": ""c"", ""title"": ""C"", ""course"": false, ""num_concepts"": 0, ""num_exercises"": 84, ""web_url"": ""https://exercism.org/tracks/c"", ""icon_url"": ""https://assets.exercism.org/tracks/c.svg"", ""tags"": [""Compiled"", ""Procedural"", ""Android"", ""iOS"", ""Linux"", ""macOS"", ""Windows"", ""Language-specific runtime"", ""Static"", ""Backends"", ""Cross-platform development"", ""Embedded systems"", ""Financial systems"", ""Frontends"", ""Games"", ""GUIs"", ""Mobile"", ""Robotics"", ""Scientific calculations""], ""last_touched_at"": null, ""is_new"": false, ""links"": {""self"": ""https://exercism.org/tracks/c"", ""exercises"": ""https://exercism.org/tracks/c/exercises"", ""concepts"": ""https://exercism.org/tracks/c/concepts""}}",2026-05-23 13:58:41,active,
exercism_csharp,exercism,Exercism,https://exercism.org/api/v2/tracks,C#,https://exercism.org/tracks/csharp,,Programming,csharp,Compiled;Functional;Imperative;Object-oriented;Android;iOS;Linux;macOS;Web Browser;Windows,,beginner,English,,,free,,,240,https://assets.exercism.org/tracks/csharp.svg,,"{""slug"": ""csharp"", ""title"": ""C#"", ""course"": true, ""num_concepts"": 62, ""num_exercises"": 178, ""web_url"": ""https://exercism.org/tracks/csharp"", ""icon_url"": ""https://assets.exercism.org/tracks/csharp.svg"", ""tags"": [""Compiled"", ""Functional"", ""Imperative"", ""Object-oriented"", ""Android"", ""iOS"", ""Linux"", ""macOS"", ""Web Browser"", ""Windows"", ""Common Language Runtime (.NET)"", ""Static"", ""Strong"", ""Backends"", ""Cross-platform development"", ""Frontends"", ""Games"", ""GUIs"", ""Mobile"", ""Web development""], ""last_touched_at"": null, ""is_new"": false, ""links"": {""self"": ""https://exercism.org/tracks/csharp"", ""exercises"": ""https://exercism.org/tracks/csharp/exercises"", ""concepts"": ""https://exercism.org/tracks/csharp/concepts""}}",2026-05-23 13:58:41,active,
