raw_id,provider_id,provider_name,source_url,raw_title,raw_url,raw_description,raw_category,raw_subcategory,raw_tags,raw_duration,raw_level,raw_language,raw_certificate_info,raw_badge_info,raw_price_info,raw_rating,raw_reviews_count,raw_enrollment_count,raw_image_url,raw_instructors,raw_json,scraped_at,status,error_message
flutter_learn_008bbc3e,flutter_learn,Flutter Learn,https://docs.flutter.dev/sitemap.xml,Listenable Builder,https://docs.flutter.dev/learn/pathway/tutorial/listenable-builder,,Mobile Development,,Flutter;Dart;Mobile Development,,intermediate,English,,,free,,,,,,"{""url"": ""https://docs.flutter.dev/learn/pathway/tutorial/listenable-builder""}",2026-05-23 14:32:51,active,
flutter_learn_00278ce2,flutter_learn,Flutter Learn,https://docs.flutter.dev/sitemap.xml,Navigation,https://docs.flutter.dev/learn/pathway/tutorial/navigation,,Mobile Development,,Flutter;Dart;Mobile Development,,intermediate,English,,,free,,,,,,"{""url"": ""https://docs.flutter.dev/learn/pathway/tutorial/navigation""}",2026-05-23 14:32:51,active,
flutter_learn_00758b74,flutter_learn,Flutter Learn,https://docs.flutter.dev/sitemap.xml,Adaptive Layout,https://docs.flutter.dev/learn/pathway/tutorial/adaptive-layout,,Mobile Development,,Flutter;Dart;Mobile Development,,intermediate,English,,,free,,,,,,"{""url"": ""https://docs.flutter.dev/learn/pathway/tutorial/adaptive-layout""}",2026-05-23 14:32:51,active,
flutter_learn_00887801,flutter_learn,Flutter Learn,https://docs.flutter.dev/sitemap.xml,User Input,https://docs.flutter.dev/learn/pathway/tutorial/user-input,,Mobile Development,,Flutter;Dart;Mobile Development,,intermediate,English,,,free,,,,,,"{""url"": ""https://docs.flutter.dev/learn/pathway/tutorial/user-input""}",2026-05-23 14:32:51,active,
flutter_learn_0096a3b9,flutter_learn,Flutter Learn,https://docs.flutter.dev/sitemap.xml,Stateful Widget,https://docs.flutter.dev/learn/pathway/tutorial/stateful-widget,,Mobile Development,,Flutter;Dart;Mobile Development,,intermediate,English,,,free,,,,,,"{""url"": ""https://docs.flutter.dev/learn/pathway/tutorial/stateful-widget""}",2026-05-23 14:32:51,active,
flutter_learn_0023313f,flutter_learn,Flutter Learn,https://docs.flutter.dev/sitemap.xml,Http Requests,https://docs.flutter.dev/learn/pathway/tutorial/http-requests,,Mobile Development,,Flutter;Dart;Mobile Development,,intermediate,English,,,free,,,,,,"{""url"": ""https://docs.flutter.dev/learn/pathway/tutorial/http-requests""}",2026-05-23 14:32:51,active,
flutter_learn_007cab1d,flutter_learn,Flutter Learn,https://docs.flutter.dev/sitemap.xml,Tutorial,https://docs.flutter.dev/learn/pathway/tutorial,,Mobile Development,,Flutter;Dart;Mobile Development,,intermediate,English,,,free,,,,,,"{""url"": ""https://docs.flutter.dev/learn/pathway/tutorial""}",2026-05-23 14:32:51,active,
flutter_learn_002eff4b,flutter_learn,Flutter Learn,https://docs.flutter.dev/sitemap.xml,Advanced Ui,https://docs.flutter.dev/learn/pathway/tutorial/advanced-ui,,Mobile Development,,Flutter;Dart;Mobile Development,,intermediate,English,,,free,,,,,,"{""url"": ""https://docs.flutter.dev/learn/pathway/tutorial/advanced-ui""}",2026-05-23 14:32:51,active,
flutter_learn_00452ded,flutter_learn,Flutter Learn,https://docs.flutter.dev/sitemap.xml,Devtools,https://docs.flutter.dev/learn/pathway/tutorial/devtools,,Mobile Development,,Flutter;Dart;Mobile Development,,intermediate,English,,,free,,,,,,"{""url"": ""https://docs.flutter.dev/learn/pathway/tutorial/devtools""}",2026-05-23 14:32:51,active,
flutter_learn_00630328,flutter_learn,Flutter Learn,https://docs.flutter.dev/sitemap.xml,Widget Fundamentals,https://docs.flutter.dev/learn/pathway/tutorial/widget-fundamentals,,Mobile Development,,Flutter;Dart;Mobile Development,,intermediate,English,,,free,,,,,,"{""url"": ""https://docs.flutter.dev/learn/pathway/tutorial/widget-fundamentals""}",2026-05-23 14:32:51,active,
