raw_id,provider_id,provider_name,source_url,raw_title,raw_url,raw_description,raw_category,raw_subcategory,raw_tags,raw_duration,raw_level,raw_language,raw_certificate_info,raw_badge_info,raw_price_info,raw_rating,raw_reviews_count,raw_enrollment_count,raw_image_url,raw_instructors,raw_json,scraped_at,status,error_message
frontend_masters_00675004,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Css Projects,https://frontendmasters.com/courses/css-projects,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/css-projects""}",2026-05-23 14:32:51,active,
frontend_masters_005bfd05,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Intro Management,https://frontendmasters.com/courses/intro-management,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/intro-management""}",2026-05-23 14:32:51,active,
frontend_masters_00981806,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,D3 Js Custom Charts,https://frontendmasters.com/courses/d3-js-custom-charts,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/d3-js-custom-charts""}",2026-05-23 14:32:51,active,
frontend_masters_000cf68e,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Web Performance,https://frontendmasters.com/courses/web-performance,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/web-performance""}",2026-05-23 14:32:51,active,
frontend_masters_008dea92,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Web Security V2,https://frontendmasters.com/courses/web-security-v2,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/web-security-v2""}",2026-05-23 14:32:51,active,
frontend_masters_0024ea17,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Vuex,https://frontendmasters.com/courses/vuex,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/vuex""}",2026-05-23 14:32:51,active,
frontend_masters_00327e9b,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Webgl Shaders,https://frontendmasters.com/courses/webgl-shaders,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/webgl-shaders""}",2026-05-23 14:32:51,active,
frontend_masters_00932e9d,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Unity,https://frontendmasters.com/courses/unity,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/unity""}",2026-05-23 14:32:51,active,
frontend_masters_005e6e9d,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Css Grid,https://frontendmasters.com/courses/css-grid,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/css-grid""}",2026-05-23 14:32:51,active,
frontend_masters_004f6623,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Web Storage Apis,https://frontendmasters.com/courses/web-storage-apis,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/web-storage-apis""}",2026-05-23 14:32:51,active,
frontend_masters_003250a4,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Sass,https://frontendmasters.com/courses/sass,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/sass""}",2026-05-23 14:32:51,active,
frontend_masters_006bae25,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Figma V2,https://frontendmasters.com/courses/figma-v2,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/figma-v2""}",2026-05-23 14:32:51,active,
frontend_masters_00274524,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Arduino Javascript,https://frontendmasters.com/courses/arduino-javascript,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/arduino-javascript""}",2026-05-23 14:32:51,active,
frontend_masters_0054962e,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Web Assembly,https://frontendmasters.com/courses/web-assembly,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/web-assembly""}",2026-05-23 14:32:51,active,
frontend_masters_004817b5,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Python Ai,https://frontendmasters.com/courses/python-ai,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/python-ai""}",2026-05-23 14:32:51,active,
frontend_masters_0035fb38,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Php,https://frontendmasters.com/courses/php,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/php""}",2026-05-23 14:32:51,active,
frontend_masters_00075ab9,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Hardcore Js Patterns,https://frontendmasters.com/courses/hardcore-js-patterns,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/hardcore-js-patterns""}",2026-05-23 14:32:51,active,
frontend_masters_009633c7,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Vanilla Js Apps,https://frontendmasters.com/courses/vanilla-js-apps,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/vanilla-js-apps""}",2026-05-23 14:32:51,active,
frontend_masters_005b32c9,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,D3 Js React,https://frontendmasters.com/courses/d3-js-react,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/d3-js-react""}",2026-05-23 14:32:51,active,
frontend_masters_005bb9ca,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Ember Octane,https://frontendmasters.com/courses/ember-octane,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/ember-octane""}",2026-05-23 14:32:51,active,
frontend_masters_002796ca,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,React Performance V2,https://frontendmasters.com/courses/react-performance-v2,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/react-performance-v2""}",2026-05-23 14:32:51,active,
frontend_masters_008e1054,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Testing Modular Front End,https://frontendmasters.com/courses/testing-modular-front-end,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/testing-modular-front-end""}",2026-05-23 14:32:51,active,
frontend_masters_002d8058,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Design Systems V2,https://frontendmasters.com/courses/design-systems-v2,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/design-systems-v2""}",2026-05-23 14:32:51,active,
frontend_masters_002294dd,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Type Compiler,https://frontendmasters.com/courses/type-compiler,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/type-compiler""}",2026-05-23 14:32:51,active,
frontend_masters_0021d661,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Advanced Vue,https://frontendmasters.com/courses/advanced-vue,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/advanced-vue""}",2026-05-23 14:32:51,active,
frontend_masters_009363ef,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Xstate V2,https://frontendmasters.com/courses/xstate-v2,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/xstate-v2""}",2026-05-23 14:32:51,active,
frontend_masters_007e0e71,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Csharp Dotnet,https://frontendmasters.com/courses/csharp-dotnet,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/csharp-dotnet""}",2026-05-23 14:32:51,active,
frontend_masters_00112df5,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Intermediate Next Js,https://frontendmasters.com/courses/intermediate-next-js,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/intermediate-next-js""}",2026-05-23 14:32:51,active,
frontend_masters_008ab175,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Databases V2,https://frontendmasters.com/courses/databases-v2,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/databases-v2""}",2026-05-23 14:32:51,active,
frontend_masters_00574376,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Advanced Elm,https://frontendmasters.com/courses/advanced-elm,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/advanced-elm""}",2026-05-23 14:32:51,active,
frontend_masters_0078127d,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Scratch,https://frontendmasters.com/courses/scratch,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/scratch""}",2026-05-23 14:32:51,active,
frontend_masters_0034f090,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Redux Mobx,https://frontendmasters.com/courses/redux-mobx,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/redux-mobx""}",2026-05-23 14:32:51,active,
frontend_masters_00046f15,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Complete React V9,https://frontendmasters.com/courses/complete-react-v9,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/complete-react-v9""}",2026-05-23 14:32:51,active,
frontend_masters_001d4698,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Backend System Design,https://frontendmasters.com/courses/backend-system-design,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/backend-system-design""}",2026-05-23 14:32:51,active,
frontend_masters_00932419,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Ux Testing,https://frontendmasters.com/courses/ux-testing,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""https://frontendmasters.com/courses/ux-testing""}",2026-05-23 14:32:51,active,
frontend_masters_0018b01d,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,Digging Into Node,https://frontendmasters.com/courses/digging-into-node,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/digging-into-node""}",2026-05-23 14:32:51,active,
frontend_masters_0059c4a2,frontend_masters,Frontend Masters,https://frontendmasters.com/sitemap.xml,D3,https://frontendmasters.com/courses/d3,,Web Development,,Frontend Masters;JavaScript;Web Development;CSS,,intermediate,English,,,free,,,,,,"{""url"": ""/courses/d3""}",2026-05-23 14:32:51,active,
