raw_id,provider_id,provider_name,source_url,raw_title,raw_url,raw_description,raw_category,raw_subcategory,raw_tags,raw_duration,raw_level,raw_language,raw_certificate_info,raw_badge_info,raw_price_info,raw_rating,raw_reviews_count,raw_enrollment_count,raw_image_url,raw_instructors,raw_json,scraped_at,status,error_message
meta_coursera_database-engineer-capstone_6514,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Database Engineer Capstone,https://www.coursera.org/learn/database-engineer-capstone,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_the-full-stack_3330,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,The Full Stack,https://www.coursera.org/learn/the-full-stack,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_introduction-to-front-end-development_6578,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Introduction To Front End Development,https://www.coursera.org/learn/introduction-to-front-end-development,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_coding-interview-preparation_7141,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Coding Interview Preparation,https://www.coursera.org/learn/coding-interview-preparation,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_advanced-react_0390,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Advanced React,https://www.coursera.org/learn/advanced-react,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_intro-to-mobile-development_8674,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Intro To Mobile Development,https://www.coursera.org/learn/intro-to-mobile-development,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_working-with-data-in-android_9768,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Working With Data In Android,https://www.coursera.org/learn/working-with-data-in-android,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_introduction-to-ios-mobile-application-development_3673,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Introduction To Ios Mobile Application Development,https://www.coursera.org/learn/introduction-to-ios-mobile-application-development,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_data-analytics-methods-for-marketing_5034,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Data Analytics Methods For Marketing,https://www.coursera.org/learn/data-analytics-methods-for-marketing,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_programming-with-javascript_2315,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Programming With Javascript,https://www.coursera.org/learn/programming-with-javascript,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_prepare-for-the-meta-marketing-science-certificati_4844,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Prepare For The Meta Marketing Science Certification Exam,https://www.coursera.org/learn/prepare-for-the-meta-marketing-science-certification-exam,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_prompt-engineering_5241,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Prompt Engineering,https://www.coursera.org/learn/prompt-engineering,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_data-driven-community-management_0704,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Data Driven Community Management,https://www.coursera.org/learn/data-driven-community-management,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
meta_coursera_data-analytics-introduction_8577,meta_coursera,Meta (via Coursera),https://www.coursera.org/partners/meta,Data Analytics Introduction,https://www.coursera.org/learn/data-analytics-introduction,,Technology,,[],,,English,paid certificate,,paid,,,,,,{},2026-05-29 07:23:59,active,
