raw_id,provider_id,provider_name,source_url,raw_title,raw_url,raw_description,raw_category,raw_subcategory,raw_tags,raw_duration,raw_level,raw_language,raw_certificate_info,raw_badge_info,raw_price_info,raw_rating,raw_reviews_count,raw_enrollment_count,raw_image_url,raw_instructors,raw_json,scraped_at,status,error_message
nptel_00001,nptel,NPTEL,https://nptel.ac.in/courses/__data.json,Introduction to Aerospace Propulsion,https://nptel.ac.in/courses/101101001/,,Aerospace Engineering,Video,Aerospace Engineering;IIT Bombay,,intermediate,English,free certificate,,free,,,,,"Prof. A M Pradeep , Prof. Bhaskar Roy","{""id"": 3, ""title"": 4, ""instituteName"": 5, ""professor"": 6, ""instituteLogo"": 7, ""contentType"": 8, ""noccourse"": 9, ""currentRun"": 9, ""selfPaced"": 9, ""disciplineId"": 10, ""instituteId"": 11}",2026-05-28 12:16:18,active,
nptel_00002,nptel,NPTEL,https://nptel.ac.in/courses/__data.json,Jet Aircraft Propulsion,https://nptel.ac.in/courses/101101002/,,Aerospace Engineering,Video,Aerospace Engineering;IIT Bombay,,intermediate,English,free certificate,,free,,,,,"Prof. A M Pradeep , Prof. Bhaskar Roy","{""id"": 13, ""title"": 14, ""instituteName"": 5, ""professor"": 6, ""instituteLogo"": 7, ""contentType"": 8, ""noccourse"": 9, ""currentRun"": 9, ""selfPaced"": 9, ""disciplineId"": 10, ""instituteId"": 11}",2026-05-28 12:16:18,active,
nptel_00003,nptel,NPTEL,https://nptel.ac.in/courses/__data.json,Turbomachinery Aerodynamics,https://nptel.ac.in/courses/101101058/,,Aerospace Engineering,Video,Aerospace Engineering;IIT Bombay,,intermediate,English,free certificate,,free,,,,,"Prof. A M Pradeep , Prof. Bhaskar Roy","{""id"": 16, ""title"": 17, ""instituteName"": 5, ""professor"": 6, ""instituteLogo"": 7, ""contentType"": 8, ""noccourse"": 9, ""currentRun"": 9, ""selfPaced"": 9, ""disciplineId"": 10, ""instituteId"": 11}",2026-05-28 12:16:18,active,
nptel_00004,nptel,NPTEL,https://nptel.ac.in/courses/__data.json,NOC:Introduction to Aerospace Engineering,https://nptel.ac.in/courses/101101079/,,Aerospace Engineering,Video,Aerospace Engineering;IIT Bombay,,intermediate,English,free certificate,,free,,,,,Prof. Rajkumar S. Pant,"{""id"": 19, ""title"": 20, ""instituteName"": 5, ""professor"": 21, ""instituteLogo"": 7, ""contentType"": 8, ""noccourse"": 9, ""currentRun"": 9, ""selfPaced"": 9, ""disciplineId"": 10, ""instituteId"": 11}",2026-05-28 12:16:18,active,
nptel_00005,nptel,NPTEL,https://nptel.ac.in/courses/__data.json,NOC:Introduction to Aircraft Design,https://nptel.ac.in/courses/101101083/,,Aerospace Engineering,Video,Aerospace Engineering;IIT Bombay,,intermediate,English,free certificate,,free,,,,,Prof. Rajkumar S. Pant,"{""id"": 23, ""title"": 24, ""instituteName"": 5, ""professor"": 21, ""instituteLogo"": 7, ""contentType"": 8, ""noccourse"": 9, ""currentRun"": 9, ""selfPaced"": 9, ""disciplineId"": 10, ""instituteId"": 11}",2026-05-28 12:16:18,active,
nptel_00006,nptel,NPTEL,https://nptel.ac.in/courses/__data.json,NOC:Introduction to Launch Vehicle Analysis and Design,https://nptel.ac.in/courses/101101086/,,Aerospace Engineering,Video,Aerospace Engineering;IIT Bombay,,intermediate,English,free certificate,,free,,,,,Prof. Ashok Joshi,"{""id"": 26, ""title"": 27, ""instituteName"": 5, ""professor"": 28, ""instituteLogo"": 7, ""contentType"": 8, ""noccourse"": 9, ""currentRun"": 9, ""selfPaced"": 9, ""disciplineId"": 10, ""instituteId"": 11}",2026-05-28 12:16:18,active,
nptel_00007,nptel,NPTEL,https://nptel.ac.in/courses/__data.json,NOC:Lighter than Air Systems,https://nptel.ac.in/courses/101101087/,,Aerospace Engineering,Video,Aerospace Engineering;IIT Bombay,,intermediate,English,free certificate,,free,,,,,Prof. Rajkumar Pant,"{""id"": 30, ""title"": 31, ""instituteName"": 5, ""professor"": 32, ""instituteLogo"": 7, ""contentType"": 8, ""noccourse"": 9, ""currentRun"": 9, ""selfPaced"": 9, ""disciplineId"": 10, ""instituteId"": 11}",2026-05-28 12:16:18,active,
nptel_00008,nptel,NPTEL,https://nptel.ac.in/courses/__data.json,NOC:Air Transportation: An Overview,https://nptel.ac.in/courses/101101805/,,Aerospace Engineering,Video,Aerospace Engineering;IIT Bombay,,intermediate,English,free certificate,,free,,,,,Prof. Rajkumar Sureshchandra Pant,"{""id"": 34, ""title"": 35, ""instituteName"": 5, ""professor"": 36, ""instituteLogo"": 7, ""contentType"": 8, ""noccourse"": 9, ""currentRun"": 9, ""selfPaced"": 9, ""disciplineId"": 10, ""instituteId"": 11}",2026-05-28 12:16:18,active,
nptel_00009,nptel,NPTEL,https://nptel.ac.in/courses/__data.json,NOC:Elements Of Mechanical Vibration,https://nptel.ac.in/courses/101102090/,,Aerospace Engineering,Video,Aerospace Engineering;IIT Delhi,,intermediate,English,free certificate,,free,,,,,Prof. Ashish K Darpe,"{""id"": 38, ""title"": 39, ""instituteName"": 40, ""professor"": 41, ""instituteLogo"": 7, ""contentType"": 8, ""noccourse"": 9, ""currentRun"": 9, ""selfPaced"": 9, ""disciplineId"": 10, ""instituteId"": 42}",2026-05-28 12:16:18,active,
nptel_00010,nptel,NPTEL,https://nptel.ac.in/courses/__data.json,Hypersonic Aerodynamics,https://nptel.ac.in/courses/101103003/,,Aerospace Engineering,Web,Aerospace Engineering;IIT Guwahati,,intermediate,English,free certificate,,free,,,,,"Dr. N. Sahoo, Dr. Vinayak Kulkarni","{""id"": 44, ""title"": 45, ""instituteName"": 46, ""professor"": 47, ""instituteLogo"": 7, ""contentType"": 48, ""noccourse"": 9, ""currentRun"": 9, ""selfPaced"": 9, ""disciplineId"": 10, ""instituteId"": 49}",2026-05-28 12:16:18,active,
nptel_00011,nptel,NPTEL,https://nptel.ac.in/courses/__data.json,Principles of Fluid Dynamics,https://nptel.ac.in/courses/101103004/,,Aerospace Engineering,Web,Aerospace Engineering;IIT Guwahati,,intermediate,English,free certificate,,free,,,,,"Dr. N. Sahoo, Dr. Vinayak Kulkarni","{""id"": 51, ""title"": 52, ""instituteName"": 46, ""professor"": 47, ""instituteLogo"": 7, ""contentType"": 48, ""noccourse"": 9, ""currentRun"": 9, ""selfPaced"": 9, ""disciplineId"": 10, ""instituteId"": 49}",2026-05-28 12:16:18,active,
nptel_00012,nptel,NPTEL,https://nptel.ac.in/courses/__data.json,Aero elasticity,https://nptel.ac.in/courses/101104005/,,Aerospace Engineering,Video,Aerospace Engineering;IIT Kanpur,,intermediate,English,free certificate,,free,,,,,Prof. C. Venkatesan,"{""id"": 54, ""title"": 55, ""instituteName"": 56, ""professor"": 57, ""instituteLogo"": 7, ""contentType"": 8, ""noccourse"": 9, ""currentRun"": 9, ""selfPaced"": 9, ""disciplineId"": 10, ""instituteId"": 58}",2026-05-28 12:16:18,active,
