raw_id,provider_id,provider_name,source_url,raw_title,raw_url,raw_description,raw_category,raw_subcategory,raw_tags,raw_duration,raw_level,raw_language,raw_certificate_info,raw_badge_info,raw_price_info,raw_rating,raw_reviews_count,raw_enrollment_count,raw_image_url,raw_instructors,raw_json,scraped_at,status,error_message
trailhead_500955,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Quip For Service Cloud,https://trailhead.salesforce.com/content/learn/modules/quip-for-service-cloud,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_556697,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Meet Quip Service Cloud,https://trailhead.salesforce.com/content/learn/modules/quip-for-service-cloud/meet-quip-service-cloud,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_926164,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Learn Quip For Service Cloud Basics,https://trailhead.salesforce.com/content/learn/modules/quip-for-service-cloud/learn-quip-for-service-cloud-basics,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_120943,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Collaborate With Quip For Service Cloud,https://trailhead.salesforce.com/content/learn/modules/quip-for-service-cloud/collaborate-with-quip-for-service-cloud,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_798490,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Explore Quip For Service Cloud Scenarios,https://trailhead.salesforce.com/content/learn/modules/quip-for-service-cloud/explore-quip-for-service-cloud-scenarios,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_855303,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Sales Deal Acceleration,https://trailhead.salesforce.com/content/learn/modules/sales-deal-acceleration,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_987874,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Identify Stuck Sales Deals,https://trailhead.salesforce.com/content/learn/modules/sales-deal-acceleration/identify-stuck-sales-deals,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_939486,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Get Deals Back On Track,https://trailhead.salesforce.com/content/learn/modules/sales-deal-acceleration/get-deals-back-on-track,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_019593,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Pro Bono Project Management,https://trailhead.salesforce.com/content/learn/modules/pro-bono-project-management,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_386926,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Prepare For Your Pro Bono Project,https://trailhead.salesforce.com/content/learn/modules/pro-bono-project-management/prepare-for-your-pro-bono-project,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_928035,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Plan For A Successful Pro Bono Project,https://trailhead.salesforce.com/content/learn/modules/pro-bono-project-management/plan-for-a-successful-pro-bono-project,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_234647,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Define A Feasible Scope For Your Pro Bono Project,https://trailhead.salesforce.com/content/learn/modules/pro-bono-project-management/define-a-feasible-scope-for-your-pro-bono-project,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_619145,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Design And Build A Sustainable Solution As A Pro Bono Volunteer,https://trailhead.salesforce.com/content/learn/modules/pro-bono-project-management/design-and-build-a-sustainable-solution-as-a-pro-bono-volunteer,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_143272,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Deploy And Transfer The Solution As A Pro Bono Volunteer,https://trailhead.salesforce.com/content/learn/modules/pro-bono-project-management/deploy-and-transfer-the-solution-as-a-pro-bono-volunteer,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_847695,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Service Cloud Essentials Features,https://trailhead.salesforce.com/content/learn/modules/service-cloud-essentials-features,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_768503,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Learn About Macros Service Console And Case Feed,https://trailhead.salesforce.com/content/learn/modules/service-cloud-essentials-features/learn-about-macros-service-console-and-case-feed,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_136899,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Learn How To Use The Preconfigured Console,https://trailhead.salesforce.com/content/learn/modules/service-cloud-essentials-features/learn-how-to-use-the-preconfigured-console,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_095922,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Add A Viz Extension To Your Tableau Worksheet,https://trailhead.salesforce.com/content/learn/modules/add-a-viz-extension-to-your-tableau-worksheet,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_736565,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Get Started With The Tableau Exchange,https://trailhead.salesforce.com/content/learn/modules/add-a-viz-extension-to-your-tableau-worksheet/get-started-with-the-tableau-exchange,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_679109,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Explore The Tableau Exchange,https://trailhead.salesforce.com/content/learn/modules/add-a-viz-extension-to-your-tableau-worksheet/explore-the-tableau-exchange,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_031422,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Add A Sankey Viz Extension To Your Worksheet,https://trailhead.salesforce.com/content/learn/modules/add-a-viz-extension-to-your-tableau-worksheet/add-a-sankey-viz-extension-to-your-worksheet,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_556253,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Add A Tableau Table Viz Extension To Your Worksheet,https://trailhead.salesforce.com/content/learn/modules/add-a-viz-extension-to-your-tableau-worksheet/add-a-tableau-table-viz-extension-to-your-worksheet,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_668750,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Business Metrics Insights With Tableau Pulse,https://trailhead.salesforce.com/content/learn/modules/business-metrics-insights-with-tableau-pulse,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_397641,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Learn How To Get Data Insights For Your Business,https://trailhead.salesforce.com/content/learn/modules/business-metrics-insights-with-tableau-pulse/learn-how-to-get-data-insights-for-your-business,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_684395,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Explore And Follow Metrics,https://trailhead.salesforce.com/content/learn/modules/business-metrics-insights-with-tableau-pulse/explore-and-follow-metrics,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_431313,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Work With Ai Powered Insights,https://trailhead.salesforce.com/content/learn/modules/business-metrics-insights-with-tableau-pulse/work-with-ai-powered-insights,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_998184,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Accelerators In Salesforce Spiff Quick Look,https://trailhead.salesforce.com/content/learn/modules/accelerators-in-salesforce-spiff-quick-look,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_974773,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Explore Accelerator Functions In Salesforce Spiff,https://trailhead.salesforce.com/content/learn/modules/accelerators-in-salesforce-spiff-quick-look/explore-accelerator-functions-in-salesforce-spiff,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_726764,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Channel Revenue Management Quick Look,https://trailhead.salesforce.com/content/learn/modules/channel-revenue-management-quick-look,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_741333,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Enhance Channel Collaboration With Channel Revenue Management,https://trailhead.salesforce.com/content/learn/modules/channel-revenue-management-quick-look/enhance-channel-collaboration-with-channel-revenue-management,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
trailhead_900004,trailhead,Salesforce Trailhead,https://trailhead.salesforce.com/content_sitemap.xml,Amazon Bedrock Foundation Models,https://trailhead.salesforce.com/content/learn/modules/amazon-bedrock-foundation-models,,Salesforce & Cloud,module,"[""module""]",,,English,badge upon completion,Salesforce badge,free,,,,,,{},2026-05-29 08:41:54,active,
